cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda
311471,0000311471-11-000010,10-Q,2011-08-08,2011-08-09,2011,Q2,2011-06-30,quarterly,APAGF,APCO OIL & GAS INTERNATIONAL INC,264957000,243927000,,,,,,34812000,2582000,,,,,24576000,,5550000,10060000,2352000,7699000,,,,,,,,4851000,,,,,,,243927000,,,,10401000
311471,0000311471-11-000015,10-Q,2011-11-07,2011-11-08,2011,Q3,2011-09-30,quarterly,APAGF,APCO OIL & GAS INTERNATIONAL INC,270713000,251103000,,,,,,35194000,2862000,,,,,26764000,,4557000,9314000,2050000,7258000,,,,,,,,5397000,9764000,-8791000,,-588000,,973000,251103000,,,,9954000
311471,0000311471-12-000008,10-K,2012-02-29,2012-03-01,2011,FY,2011-12-31,annual,APAGF,APCO OIL & GAS INTERNATIONAL INC,282996000,258409000,,,,,,36899000,2908000,,,,,104780000,,21224000,41850000,10063000,31746000,,,,,,,,20703000,42184000,-35814000,,-2355000,,6370000,258409000,,,,41927000
311471,0000311471-12-000008,10-K,2012-02-29,2012-03-01,2011,FY,2011-12-31,quarterly,APAGF,APCO OIL & GAS INTERNATIONAL INC,282996000,258409000,,,,,,36899000,2908000,,,,,30951000,,5292000,11785000,3138000,9811000,,,,,,,,5781000,12066000,-9814000,,-589000,,2252000,258409000,,,,11073000
311471,0000311471-12-000013,10-Q,2012-05-08,2012-05-09,2012,Q1,2012-03-31,quarterly,APAGF,APCO OIL & GAS INTERNATIONAL INC,304707000,267896000,,,,,,39842000,4576000,,,,,30076000,,5050000,13388000,3296000,10076000,,,,,,,,5453000,6921000,-9387000,,-589000,,-2466000,267896000,,,,10503000
311471,0000311471-12-000023,10-Q,2012-08-08,2012-08-09,2012,Q2,2012-06-30,quarterly,APAGF,APCO OIL & GAS INTERNATIONAL INC,318391000,280577000,,,,,,31971000,4893000,,,,,32967000,,9718000,16881000,4186000,12680000,,,,,,,,5703000,6584000,-16953000,,-589000,,-10369000,280577000,,,,15421000
311471,0000311471-12-000026,10-Q,2012-11-08,2012-11-09,2012,Q3,2012-09-30,quarterly,APAGF,APCO OIL & GAS INTERNATIONAL INC,328346000,290849000,,,,,,28961000,4773000,,,,,34966000,,7414000,13777000,3533000,10231000,,,,,,,,7164000,15180000,-16689000,,0,,-1509000,290849000,,,,14578000
311471,0000311471-13-000004,10-K,2013-03-08,2013-03-09,2012,FY,2012-12-31,annual,APAGF,APCO OIL & GAS INTERNATIONAL INC,336707000,296734000,,,,,,32669000,4074000,,,,,133263000,,26071000,52179000,13066000,39061000,,,,,,,,26904000,42798000,-54413000,,-1178000,,-11615000,296734000,,,,52975000
311471,0000311471-13-000004,10-K,2013-03-08,2013-03-09,2012,FY,2012-12-31,quarterly,APAGF,APCO OIL & GAS INTERNATIONAL INC,336707000,296734000,,,,,,32669000,4074000,,,,,35254000,,3889000,8133000,2051000,6074000,,,,,,,,8584000,14113000,-11384000,,0,,2729000,296734000,,,,12473000
311471,0000311471-13-000007,10-Q,2013-05-07,2013-05-08,2013,Q1,2013-03-31,quarterly,APAGF,APCO OIL & GAS INTERNATIONAL INC,347411000,306667000,,,,,,35043000,4637000,,,,,35279000,,8008000,13473000,3530000,9933000,,,,,,,,7161000,12095000,-13300000,,0,,-1205000,306667000,,,,15169000
311471,0000311471-13-000012,10-Q,2013-08-07,2013-08-08,2013,Q2,2013-06-30,quarterly,APAGF,APCO OIL & GAS INTERNATIONAL INC,358403000,320187000,,,,,,45735000,5243000,,,,,41790000,,11935000,18057000,4525000,13520000,,,,,,,,9477000,16560000,-14308000,,0,,2252000,320187000,,,,21412000
311471,0000311471-13-000015,10-Q,2013-11-07,2013-11-08,2013,Q3,2013-09-30,quarterly,APAGF,APCO OIL & GAS INTERNATIONAL INC,366348000,313920000,,,,,,46873000,5675000,,,,,33672000,,6021000,10503000,16533000,-6038000,,,,,,,,7884000,14469000,-13306000,,0,,1163000,313920000,,,,13905000
311471,0000311471-14-000003,10-K,2014-03-07,2014-03-08,2013,FY,2013-12-31,annual,APAGF,APCO OIL & GAS INTERNATIONAL INC,375254000,315203000,,,,,,48566000,5295000,,,,,149023000,,28402000,49115000,30581000,18496000,,,,,,,,33174000,59519000,-49894000,,0,,9625000,315203000,,,,61576000
311471,0000311471-14-000003,10-K,2014-03-07,2014-03-08,2013,FY,2013-12-31,quarterly,APAGF,APCO OIL & GAS INTERNATIONAL INC,375254000,315203000,,,,,,48566000,5295000,,,,,38282000,,2438000,7082000,5993000,1081000,,,,,,,,8652000,16395000,-8980000,,0,,7415000,315203000,,,,11090000
311471,0000311471-14-000006,10-Q,2014-05-08,2014-05-09,2014,Q1,2014-03-31,quarterly,APAGF,APCO OIL & GAS INTERNATIONAL INC,372736000,318257000,,,,,,39346000,5986000,,,,,30586000,,2311000,4261000,1204000,3054000,,,,,,,,9503000,16887000,-21486000,,,,-4599000,318257000,,,,11814000
311471,0000311471-14-000009,10-Q,2014-08-06,2014-08-07,2014,Q2,2014-06-30,quarterly,APAGF,APCO OIL & GAS INTERNATIONAL INC,386026000,325377000,,,,,,30594000,6786000,,,,,38800000,,6320000,10850000,3715000,7127000,,,,,,,,9661000,8400000,-16144000,,,,-7744000,325377000,,,,15981000
311471,0000311471-14-000013,10-Q,2014-11-04,2014-11-05,2014,Q3,2014-09-30,quarterly,APAGF,APCO OIL & GAS INTERNATIONAL INC,399072000,337998000,,,,,,24804000,6370000,,,,,46336000,,11291000,17108000,4477000,12621000,,,,,,,,11055000,18511000,-22094000,,,,-3583000,337998000,,,,22346000
