cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda,sic,shares_outstanding,shares_asof,shares_source,long_term_debt,short_term_borrowings,depreciation,amortization
1178670,0000950123-10-073454,10-Q,2010-08-05,2010-08-06,2010,Q2,2010-06-30,quarterly,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",440180000,165478000,535000,,535000,,,66182000,,,0,,,26617000,,-11626000,-14861000,-229000,-14632000,28136000,,,641000,,,38243000,,,,,,,,164943000,,,,,2834,42096731,2010-06-30,single,,,,
1178670,0000950123-10-101051,10-Q,2010-11-04,2010-11-05,2010,Q3,2010-09-30,quarterly,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",412606000,160643000,491000,,491000,,,46881000,,,0,,,27668000,,-8728000,-9332000,298000,-9630000,27468000,,,602000,,,36396000,1266000,-24038000,-1067000,4511000,,,-25105000,160152000,,,,-7462000,2834,42160382,2010-09-30,single,,,,
1178670,0000950123-11-015737,10-K,2011-02-18,2011-02-19,2010,FY,2010-12-31,annual,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",393265000,158233000,448000,,448000,,,74599000,,,0,,,100041000,,-44070000,-43001000,514000,-43515000,106384000,,,2305000,,,144111000,4941000,-84341000,-4732000,19118000,,,-89073000,157785000,,,,-39129000,2834,42343423,2010-12-31,single,,,,
1178670,0000950123-11-015737,10-K,2011-02-18,2011-02-19,2010,FY,2010-12-31,quarterly,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",393265000,158233000,448000,,448000,,,74599000,,,0,,,21192000,,-12410000,-6503000,427000,-6930000,26080000,,,472000,,,33602000,1291000,-20388000,-1138000,4212000,,,-21526000,157785000,,,,-11119000,2834,42343423,2010-12-31,single,,,,
1178670,0000950123-11-045184,10-Q,2011-05-05,2011-05-06,2011,Q1,2011-03-31,quarterly,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",369052000,145567000,405000,,405000,,,90590000,,,0,,,20897000,,-15676000,-16285000,,-16285000,26349000,,,382000,,,36573000,1339000,-6305000,-28000,4122000,,,-6333000,145162000,,,,-14337000,2834,42359262,2011-03-31,single,,,,
1178670,0000950123-11-071950,10-Q,2011-08-03,2011-08-04,2011,Q2,2011-06-30,quarterly,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",340828000,136551000,361000,,361000,,,67110000,,,0,,,,,-13118000,-13824000,,-13824000,25303000,,,322000,,,33732000,1287000,-26579000,-474000,4214000,,,-27053000,136190000,,,,-11831000,2834,42653915,2011-06-30,single,,,,
1178670,0000950123-11-094900,10-Q,2011-11-03,2011-11-04,2011,Q3,2011-09-30,quarterly,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",310223000,127873000,318000,,318000,,,74336000,,,,,,,,-12438000,-13237000,,-13237000,24274000,,,265000,,,33229000,1262000,-29025000,-265000,4258000,,,-29290000,127555000,,,,-11176000,2834,42687941,2011-09-30,single,,,,
1178670,0001193125-12-053552,10-K,2012-02-13,2012-02-14,2011,FY,2011-12-31,annual,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",281917000,117997000,275000,,275000,,,70228000,,,,,,,,-54818000,-57649000,,-57649000,99295000,,,1205000,,,137575000,5125000,-87068000,-1291000,16676000,,,-88359000,117722000,,,,-49693000,2834,42721942,2011-12-31,single,,,,
1178670,0001193125-12-053552,10-K,2012-02-13,2012-02-14,2011,FY,2011-12-31,quarterly,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",281917000,117997000,275000,,275000,,,70228000,,,,,,,,-13586000,-14303000,,-14303000,23369000,,,236000,,,34041000,1237000,-25159000,-524000,4082000,,,-25683000,117722000,,,,-12349000,2834,42721942,2011-12-31,single,,,,
1178670,0001193125-12-208797,10-Q,2012-05-03,2012-05-04,2012,Q1,2012-03-31,quarterly,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",340295000,197378000,231000,,231000,,,61739000,,,,,,,,-10893000,,,-11368000,21074000,,,223000,,,31480000,2121000,-30215000,-263000,3156000,,,-30478000,197147000,,,,-8772000,2834,51893258,2012-03-31,single,,,,
1178670,0001193125-12-344262,10-Q,2012-08-08,2012-08-09,2012,Q2,2012-06-30,quarterly,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",318477000,188287000,188000,,188000,,,48274000,,,,,,,,-12067000,,,-12956000,21723000,,51280000,271000,,,32951000,2605000,-21694000,-1670000,3096000,,,-23364000,188099000,,,,-9462000,2834,51995553,2012-06-30,single,,,,
1178670,0001193125-12-452123,10-Q,2012-11-05,2012-11-06,2012,Q3,2012-09-30,quarterly,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",322352000,177160000,145000,,145000,,,75838000,,,,,,,,-18147000,,,-19502000,22094000,,51542000,261000,,,34906000,2285000,5212000,-5729000,3386000,,,-517000,177015000,,,,-15862000,2834,52378860,2012-09-30,single,,,,
1178670,0001193125-13-065475,10-K,2013-02-19,2013-02-20,2012,FY,2012-12-31,annual,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",287520000,134053000,,,,,,51405000,,,,,,,,-129456000,-116586000,-10572000,-106014000,86569000,,50286000,977000,,,196181000,9035000,-115609000,-8348000,12360000,,,-123957000,134053000,,,,-120421000,2834,52489936,2012-12-31,single,,,,
1178670,0001193125-13-065475,10-K,2013-02-19,2013-02-20,2012,FY,2012-12-31,quarterly,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",287520000,134053000,,,,,,51405000,,,,,,,,-88349000,,,-62188000,21678000,,51821000,222000,,,96844000,2024000,-68912000,-686000,2722000,,,-69598000,134053000,,,,-86325000,2834,52489936,2012-12-31,single,,,,
1178670,0001193125-13-204676,10-Q,2013-05-07,2013-05-08,2013,Q1,2013-03-31,quarterly,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",471578000,311556000,,,,,,97804000,,,,,,,,-9804000,-9575000,-562000,-9013000,22179000,,59173000,224000,,,28446000,2127000,-971000,-1799000,3075000,,,-2770000,311556000,,,,-7677000,2834,62132830,2013-03-31,single,,,,
1178670,0001193125-13-328105,10-Q,2013-08-09,2013-08-10,2013,Q2,2013-06-30,quarterly,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",462558000,308175000,,,,,,24975000,,,,,,,,-21312000,-21053000,-2884000,-18169000,24215000,,61661000,,,,29999000,2711000,-23602000,-379000,3377000,,,-23981000,308175000,,,,-18601000,2834,62457513,2013-06-30,single,,,,
1178670,0001193125-13-431609,10-Q,2013-11-07,2013-11-08,2013,Q3,2013-09-30,quarterly,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",447503000,297582000,,,,,,11840000,,,,,,,,-32234000,-31956000,-2270000,-29686000,34457000,,62416000,,,,41225000,2764000,-21715000,-950000,8845000,,,-22665000,297582000,,,,-29470000,2834,63236216,2013-09-30,single,,,,
1178670,0001193125-14-060913,10-K,2014-02-20,2014-02-21,2013,FY,2013-12-31,annual,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",420530000,270347000,,,,,,53169000,,,,,,,,-92942000,-91920000,-2695000,-89225000,112957000,,61551000,,,,140109000,10229000,-68657000,-4006000,20703000,,,-72663000,270347000,,,,-82713000,2834,63741573,2013-12-31,single,,,,
1178670,0001193125-14-060913,10-K,2014-02-20,2014-02-21,2013,FY,2013-12-31,quarterly,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",420530000,270347000,,,,,,53169000,,,,,,,,-29592000,-29336000,3021000,-32357000,32106000,,62909000,,,,40439000,2627000,-22369000,-878000,5406000,,,-23247000,270347000,,,,-26965000,2834,63741573,2013-12-31,single,,,,
1178670,0001193125-14-192579,10-Q,2014-05-09,2014-05-10,2014,Q1,2014-03-31,quarterly,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",1080297000,954973000,,,,,,350589000,,,,,,,,-269064000,-268813000,,-250943000,43758000,,67786000,,,,277339000,2600000,-41675000,-388000,5591000,,,-42063000,954973000,,,,-266464000,2834,75484782,2014-03-31,single,,,,
1178670,0001193125-14-301873,10-Q,2014-08-08,2014-08-09,2014,Q2,2014-06-30,quarterly,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",1032659000,942269000,,,,,,80727000,,,,,,,,-45005000,-44389000,,-44074000,44672000,,75835000,,,,52300000,2868000,-46625000,-1852000,7680000,,,-48477000,942269000,,,,-42137000,2834,76324130,2014-06-30,single,,,,
1178670,0001193125-14-399866,10-Q,2014-11-06,2014-11-07,2014,Q3,2014-09-30,quarterly,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",986357000,904478000,,,,,,82721000,,,,,,,,-45199000,-43922000,,-43989000,46273000,,76408000,,,,56171000,3117000,-40706000,-3195000,6352000,,,-43901000,904478000,,,,-42082000,2834,76677045,2014-09-30,single,,,,
1178670,0001193125-15-050223,10-K,2015-02-13,2015-02-14,2014,FY,2014-12-31,annual,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",1079595000,936267000,,,,,,75179000,,,,,,,,-404980000,-400604000,,-360395000,190249000,,74278000,,,,455541000,11926000,-165641000,-8961000,33061000,,,-174602000,936267000,,,,-393054000,2834,77202753,2014-12-31,single,,,,
