cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda,sic,shares_outstanding,shares_asof,shares_source,long_term_debt,short_term_borrowings,depreciation,amortization,ticker_source,ticker_asof
1597264,0001558370-15-001077,10-Q,2015-06-11,2015-06-12,2015,Q1,2015-03-31,quarterly,BPMC,BLUEPRINT MEDICINES CORP,55910000,-90085000,,,,,,50298000,,,,,,652000,,,,,-11572000,9232000,185000,1681000,,,,12002000,209000,4890000,-19000,840000,,,4871000,-90085000,,,,,2834,1731437,2015-03-31,single,,,,,instance,2015-06-11
1597264,0001558370-15-001584,10-Q,2015-08-10,2015-08-11,2015,Q2,2015-06-30,quarterly,BPMC,BLUEPRINT MEDICINES CORP,204208000,169589000,,,,,,193587000,,,,,,2687000,,,,,-12980000,11243000,179000,17092989,,,,15083000,202000,-11055000,-288000,2174000,,,-11343000,169589000,,,,,2834,26691946,2015-06-30,single,,,,,instance,2015-08-10
1597264,0001558370-15-002529,10-Q,2015-11-09,2015-11-10,2015,Q3,2015-09-30,quarterly,BPMC,BLUEPRINT MEDICINES CORP,195288000,158142000,,,,,,179780000,,,,,,3426000,,,,,-12642000,11681000,171000,26835277,,,,15903000,204000,-12465000,-822000,971000,,,-13287000,158142000,,,,,2834,26895589,2015-09-30,single,,,,,instance,2015-11-09
1597264,0001558370-16-004066,10-K,2016-03-11,2016-03-12,2015,FY,2015-12-31,annual,BPMC,BLUEPRINT MEDICINES CORP,178898000,143979000,,,,,,162707000,,,,,,11400000,,,,,-52769000,48588000,696000,18235614,,,,63044000,948000,-31676000,-4883000,5180000,,,-36559000,143979000,,,,,2834,27065558,2015-12-31,single,,,,,instance,2016-03-11
1597264,0001558370-16-004066,10-K,2016-03-11,2016-03-12,2015,FY,2015-12-31,quarterly,BPMC,BLUEPRINT MEDICINES CORP,178898000,143979000,,,,,,162707000,,,,,,4635000,,,,,-15575000,16431000,161000,,,,,20056000,333000,-13046000,-3754000,1195000,,,-16800000,143979000,,,,,2834,27065558,2015-12-31,single,,,,,instance,2016-03-11
1597264,0001558370-16-005818,10-Q,2016-05-10,2016-05-11,2016,Q1,2016-03-31,quarterly,BPMC,BLUEPRINT MEDICINES CORP,206010000,129659000,,,,,,122289000,,,,,,6856000,,,,,-15504000,17635000,140000,27087919,,,,22281000,386000,30751000,-1262000,1102000,,,29489000,129659000,,,,,2834,27141593,2016-03-31,single,,,,,instance,2016-05-10
1597264,0001558370-16-007817,10-Q,2016-08-09,2016-08-10,2016,Q2,2016-06-30,quarterly,BPMC,BLUEPRINT MEDICINES CORP,186520000,112562000,,,,,,109386000,,,,,,7065000,,,,,-18894000,21273000,129000,27170423,,,,25961000,396000,-17833000,-552000,1487000,,,-18385000,112562000,,,,,2834,27227415,2016-06-30,single,,,,,instance,2016-08-09
1597264,0001558370-16-009951,10-Q,2016-11-10,2016-11-11,2016,Q3,2016-09-30,quarterly,BPMC,BLUEPRINT MEDICINES CORP,167849000,97710000,,,,,,74403000,,,,,,6160000,,,,,-16834000,18150000,109000,27250662,,,,23043000,407000,-18634000,-522000,1905000,,,-19156000,97710000,,,,,2834,27293923,2016-09-30,single,,,,,instance,2016-11-10
1597264,0001558370-17-001547,10-K,2017-03-09,2017-03-10,2016,FY,2016-12-31,annual,BPMC,BLUEPRINT MEDICINES CORP,282795000,213078000,,,,,,52069000,,,,,,27772000,,,,,-72495000,81131000,469000,27492000,,,,100349000,1582000,-24513000,-2354000,6140000,,,-26867000,213078000,,,,,2834,33123354,2016-12-31,single,,,,,instance,2017-03-09
1597264,0001558370-17-001547,10-K,2017-03-09,2017-03-10,2016,FY,2016-12-31,quarterly,BPMC,BLUEPRINT MEDICINES CORP,282795000,213078000,,,,,,52069000,,,,,,7691000,,,,,-21263000,24073000,91000,,,,,29064000,393000,-18797000,-18000,1646000,,,-18815000,213078000,,,,,2834,33123354,2016-12-31,single,,,,,instance,2017-03-09
1597264,0001558370-17-003397,10-Q,2017-05-03,2017-05-04,2017,Q1,2017-03-31,quarterly,BPMC,BLUEPRINT MEDICINES CORP,252648000,188222000,,,,,,56356000,,,,,,5840000,,,,,-27977000,28487000,72000,33190000,,,,34170000,398000,-31080000,-210000,2240000,,,-31290000,188222000,,,,,2834,33249360,2017-03-31,single,,,,,instance,2017-05-03
1597264,0001558370-17-005728,10-Q,2017-08-02,2017-08-03,2017,Q2,2017-06-30,quarterly,BPMC,BLUEPRINT MEDICINES CORP,444721000,374089000,,,,,,91346000,,,,,,5890000,,,,,-33412000,33271000,59000,38775000,,,,40104000,393000,-27517000,-247000,2979000,,,-27764000,374089000,,,,,2834,39080152,2017-06-30,single,,,,,instance,2017-08-02
1597264,0001558370-17-007829,10-Q,2017-10-31,2017-11-01,2017,Q3,2017-09-30,quarterly,BPMC,BLUEPRINT MEDICINES CORP,420118000,341240000,,,,,,57329000,,,,,,8068000,,,,,-37703000,39300000,47000,39130000,,,,46678000,396000,-26518000,-4475000,3599000,,,-30993000,341240000,,,,,2834,39179019,2017-09-30,single,,,,,instance,2017-10-31
1597264,0001558370-18-000862,10-K,2018-02-21,2018-02-22,2017,FY,2017-12-31,annual,BPMC,BLUEPRINT MEDICINES CORP,715737000,623970000,,,,,,400304000,,,,,,21426000,,,,,-148119000,144687000,221000,37793000,,,,172673000,1578000,-119865000,-15512000,12523000,,,-135377000,623970000,,,,,2834,43577526,2017-12-31,single,,,,,instance,2018-02-21
1597264,0001558370-18-000862,10-K,2018-02-21,2018-02-22,2017,FY,2017-12-31,quarterly,BPMC,BLUEPRINT MEDICINES CORP,715737000,623970000,,,,,,400304000,,,,,,1628000,,,,,-49027000,43629000,43000,,,,,51721000,391000,-34750000,-10580000,3705000,,,-45330000,623970000,,,,,2834,43577526,2017-12-31,single,,,,,instance,2018-02-21
1597264,0001558370-18-003771,10-Q,2018-05-02,2018-05-03,2018,Q1,2018-03-31,quarterly,BPMC,BLUEPRINT MEDICINES CORP,664468000,570873000,,,,,,134886000,,,,,,954000,,,,,-56549000,49954000,32000,43700000,,,,59865000,780000,-49563000,-6312000,5549000,,,-55875000,570873000,,,,,2834,43821247,2018-03-31,single,,,,,instance,2018-05-02
1597264,0001558370-18-006090,10-Q,2018-08-01,2018-08-02,2018,Q2,2018-06-30,quarterly,BPMC,BLUEPRINT MEDICINES CORP,665113000,552932000,,,,,,117751000,,,,,,41439000,,,,,-27048000,58573000,23000,43856000,,,,70906000,1133000,-2859000,-3322000,7762000,,,-6181000,552932000,,,,,2834,43883774,2018-06-30,single,,,,,instance,2018-08-01
1597264,0001558370-18-008072,10-Q,2018-10-30,2018-10-31,2018,Q3,2018-09-30,quarterly,BPMC,BLUEPRINT MEDICINES CORP,606110000,489296000,,,,,,78641000,,,,,,1095000,,,,,-72723000,64562000,14000,43915000,,,,76603000,1163000,-55005000,-2618000,8391000,,,-57623000,489296000,,,,,2834,43945316,2018-09-30,single,,,,,instance,2018-10-30
1597264,0001558370-19-001094,10-K,2019-02-26,2019-02-27,2018,FY,2018-12-31,annual,BPMC,BLUEPRINT MEDICINES CORP,540124000,419009000,,,,,,68064000,,,,,,44521000,,,,,-236642000,243621000,73000,43867000,,,,291549000,4246000,-175009000,-12677000,30534000,,,-187686000,419009000,,,,,2834,44037026,2018-12-31,single,,,,,instance,2019-02-26
1597264,0001558370-19-001094,10-K,2019-02-26,2019-02-27,2018,FY,2018-12-31,quarterly,BPMC,BLUEPRINT MEDICINES CORP,540124000,419009000,,,,,,68064000,,,,,,1033000,,,,,-80322000,70532000,4000,,,,,84175000,1170000,-67582000,-425000,8832000,,,-68007000,419009000,,,,,2834,44037026,2018-12-31,single,,,,,instance,2019-02-26
1597264,0001558370-19-004709,10-Q,2019-05-09,2019-05-10,2019,Q1,2019-03-31,quarterly,BPMC,BLUEPRINT MEDICINES CORP,544663000,344213000,,,,,,79391000,,99600000,,,,730000,,,,,-87407000,74250000,3000,44097000,,,,90803000,2219000,-80188000,-1770000,10295000,,,-81958000,344213000,,,,,2834,44171465,2019-03-31,single,,,,,instance,2019-05-09
1597264,0001558370-19-006820,10-Q,2019-08-01,2019-08-02,2019,Q2,2019-06-30,quarterly,BPMC,BLUEPRINT MEDICINES CORP,807178000,592827000,,,,,,82425000,,99003000,,,,5110000,,,,,-99681000,87101000,2000,48842847,,,,109024000,2510000,-81228000,-2170000,13666000,,,-83398000,592827000,,,,,2834,49059644,2019-06-30,single,,,,,instance,2019-08-01
