cik,ticker,first_filed,last_filed,name
1750,AIR,2010-09-23,2026-03-25,AAR CORP
1800,ABT,2009-08-07,2026-04-29,ABBOTT LABORATORIES
1961,WORLD,2011-09-02,2012-11-15,WORLDS INC
1961,WDDD,2013-04-15,2013-04-15,WORLDS INC
1961,WORLD,2013-05-20,2014-11-19,WORLDS INC
1961,WDDD,2015-02-06,2015-02-06,WORLDS INC
1961,WORLD,2015-02-06,2018-08-13,WORLDS INC
1961,WDDD,2018-11-14,2021-03-16,WORLDS INC
2034,ACET,2011-11-04,2019-02-20,ACETO CORP
2098,ACU,2011-08-05,2026-05-06,ACME UNITED CORP
2178,AE,2011-08-12,2024-11-12,"ADAMS RESOURCES & ENERGY, INC."
2186,RWC,2011-08-09,2018-05-09,RELM WIRELESS CORP
2186,BKTI,2018-08-01,2021-05-13,BK TECHNOLOGIES
2488,AMD,2010-08-04,2026-05-06,ADVANCED MICRO DEVICES INC
2491,BYI,2010-11-05,2014-10-31,"BALLY TECHNOLOGIES, INC."
2969,APD,2009-07-24,2026-04-30,"AIR PRODUCTS & CHEMICALS, INC."
3116,AKRX,2011-08-09,2020-08-07,AKORN INC
3197,CECE,2011-08-12,2022-08-08,CECO ENVIRONMENTAL CORP
3197,CECO,2022-11-07,2026-04-30,CECO ENVIRONMENTAL CORP
3453,ALEX,2010-07-30,2012-05-09,ALEXANDER & BALDWIN INC
3453,MATX,2012-08-09,2026-05-05,"MATSON, INC."
3499,ALX,2011-08-01,2026-05-04,ALEXANDERS INC
3545,ALCO,2011-08-09,2026-05-11,"ALICO, INC."
3570,LNG,2011-08-05,2026-05-07,CHENIERE ENERGY INC
3673,AYE,2009-08-07,2011-02-23,"ALLEGHENY ENERGY, INC"
3952,ADGI,2011-09-12,2013-08-14,ALLIED DEFENSE GROUP INC
3982,ALY,2011-09-02,2011-11-22,ALLIS CHALMERS ENERGY INC.
4127,SWKS,2010-05-11,2026-05-05,SKYWORKS SOLUTIONS INC
