file,rows,sha256
2009.zip,957,af4c128bdfdb3481f7b5e8035491b9609d06b218e744107bf8b5e546ffd3506b
2010.zip,4316,0bd51f0c177c2b7a77dc07c57307228468366240bddd0ca80d0c0874d366dcad
2011.zip,19191,614eb2df409f886b4a9f0f4fa57001cfbfbc60c9403429cd2a44511b04b48f55
2012.zip,39048,28f008325a9e6ffbe2a76453a7078b61a52f790118ddd8d4e315b6570c1b73f4
2013.zip,37674,de57d5aa16f904bc48922428f3ae51fc29f435044592822fbfc13e36456ff09b
2014.zip,37097,b1111630a8dc574d72e6e4f34e56eae4fb30ed5fcbcdbf64aae5f72e6fbd5728
2015.zip,35810,28fb904abd5115455a1f9ebfcf0b8118e9f40827ead4893250dec307c4ced13a
2016.zip,32403,f6aa7a7b4b2dd56192970f49611c31344e2f12badc67d15087dfe8aa886568d1
2017.zip,31804,7ed1096ee94508806e982b359d6a570f8d37dbfa848015faa76979323fd91225
2018.zip,30790,60ef8288c5b039969e2e514c02f8f05994db9d5e788cce51cf30c74aabc28383
2019.zip,29751,00cbe723e0a8b8f6b5782115dccdfc64d58f6bf61f3db094bb3e8012714ba134
2020.zip,28768,b53d84d5ea28bd8c2e9c8cca1f6f510b4bfd480fb9ede9967f19dc5bb760c29b
2021.zip,32686,7dd39b643acf9fba573da18e1facea10d291afc38793021e7690db8989ffccc7
2022.zip,34129,ac35f9df80614da97020b107ac3939c543e6bc37e53ac93db60a8bc2a78d1fa2
2023.zip,31977,e8ec197a167854922213ec8380fb97f5c95a125ce20d88aac6ecee732fc2ee3b
2024.zip,29790,3cb4e3315b04d0e3319d2fc9f442b32a5a6b4426de7334795b428ed8d61f8a53
2025.zip,28514,312701364448ad45cc1af80b789e3bd090b695b3c85ba0ef741c71b83254cf51
2026.zip,16295,726c4b42661256cf219ab2127230a5867c6859107fae66d2aa88711654a08988
